"CRUISE6","STRATUM","TOW","STATION","SEASON","SVSPP","COMNAME","CATCHSEX","BIOMASS","ABUNDANCE"
196721,1010,2,90,"FALL",12,"SAND TIGER",0,22.7,8
196721,1090,1,111,"FALL",12,"SAND TIGER",0,1.8,1
197106,1650,4,79,"FALL",12,"SAND TIGER",0,7.7,1
197106,1690,5,36,"FALL",12,"SAND TIGER",0,25.9,2
197208,3440,1,174,"FALL",12,"SAND TIGER",0,4.5,1
197308,3340,3,80,"FALL",12,"SAND TIGER",0,77.1,1
197308,3360,2,86,"FALL",12,"SAND TIGER",0,136.1,1
197411,3290,2,84,"FALL",12,"SAND TIGER",0,77.6,1
197411,3310,3,45,"FALL",12,"SAND TIGER",0,32.2,1
197411,3410,3,69,"FALL",12,"SAND TIGER",0,77.1,1
197512,3390,1,150,"FALL",12,"SAND TIGER",0,8.6,4
197512,3400,1,151,"FALL",12,"SAND TIGER",0,136.1,1
197512,3420,1,141,"FALL",12,"SAND TIGER",0,65.8,1
197512,3430,3,143,"FALL",12,"SAND TIGER",0,52.2,2
197512,3430,4,147,"FALL",12,"SAND TIGER",0,22.7,3
197609,3330,1,159,"FALL",12,"SAND TIGER",0,35,1
197609,3390,1,143,"FALL",12,"SAND TIGER",0,34,1
197609,3420,1,141,"FALL",12,"SAND TIGER",0,63.5,1
197609,3430,1,138,"FALL",12,"SAND TIGER",0,68,1
197712,3330,1,69,"FALL",12,"SAND TIGER",0,80,1
197712,3420,1,47,"FALL",12,"SAND TIGER",0,72,1
197806,3390,1,69,"FALL",12,"SAND TIGER",0,69.2,1
197806,3400,2,70,"FALL",12,"SAND TIGER",0,225.9,3
197806,3420,1,65,"FALL",12,"SAND TIGER",0,151.8,2
197910,3380,1,100,"FALL",12,"SAND TIGER",0,127,1
197910,3390,1,96,"FALL",12,"SAND TIGER",0,45,1
198007,3310,2,107,"FALL",12,"SAND TIGER",0,75,1
198007,3400,1,91,"FALL",12,"SAND TIGER",0,400,7
198206,3340,3,114,"FALL",12,"SAND TIGER",0,80,1
198405,3290,1,118,"FALL",12,"SAND TIGER",0,10.2,1
198405,3440,2,85,"FALL",12,"SAND TIGER",0,100,1
198508,3230,2,75,"FALL",12,"SAND TIGER",0,7.5,1
198606,3260,1,87,"FALL",12,"SAND TIGER",0,90,1
198606,3400,1,56,"FALL",12,"SAND TIGER",0,50,1
199105,3340,1,66,"FALL",12,"SAND TIGER",0,53,1
199406,3240,1,99,"FALL",12,"SAND TIGER",0,63.8,2
199507,3390,1,48,"FALL",12,"SAND TIGER",0,53,1
199706,3240,2,97,"FALL",12,"SAND TIGER",0,111.6,3
199706,3340,1,72,"FALL",12,"SAND TIGER",0,867.2,12
199908,3240,1,80,"FALL",12,"SAND TIGER",0,102,1
199908,3340,2,60,"FALL",12,"SAND TIGER",0,87,1
200005,3280,3,82,"FALL",12,"SAND TIGER",0,46.1,4
200005,3410,1,56,"FALL",12,"SAND TIGER",0,82,1
200109,3290,2,76,"FALL",12,"SAND TIGER",0,73,1
200209,3240,2,54,"FALL",12,"SAND TIGER",0,105.6,3
200209,3260,2,52,"FALL",12,"SAND TIGER",0,78,1
200306,3340,1,192,"FALL",12,"SAND TIGER",0,105,1
200407,3380,1,31,"FALL",12,"SAND TIGER",0,344.5,5
200510,3240,2,116,"FALL",12,"SAND TIGER",0,97,1
200709,3270,1,6,"FALL",12,"SAND TIGER",0,17.94,1
200807,3240,1,27,"FALL",12,"SAND TIGER",0,45.1,1
200807,3330,1,82,"FALL",12,"SAND TIGER",0,111,1
201204,3200,2,106,"FALL",12,"SAND TIGER",0,111.75,1
201304,3380,2,102,"FALL",12,"SAND TIGER",0,119.44,1
